"Durable Medical Equipment,",,,,
"Prosthetics, Orthotics, and Supplies",,,,
(DMEPOS),,,,
January 2025 Former CBA ZIP Codes ,,,,
,,,,
CBA State,CBA ZIP Code,CBA Name Short,CBA Name,Year/Qtr
NC,27409,"Greensboro, NC","Greensboro-High Point, NC",202501
NC,27410,"Greensboro, NC","Greensboro-High Point, NC",202501
NC,27411,"Greensboro, NC","Greensboro-High Point, NC",202501
NC,27412,"Greensboro, NC","Greensboro-High Point, NC",202501
NC,27413,"Greensboro, NC","Greensboro-High Point, NC",202501
NC,27415,"Greensboro, NC","Greensboro-High Point, NC",202501
NC,27416,"Greensboro, NC","Greensboro-High Point, NC",202501
NC,27417,"Greensboro, NC","Greensboro-High Point, NC",202501
NC,27419,"Greensboro, NC","Greensboro-High Point, NC",202501
NC,27420,"Greensboro, NC","Greensboro-High Point, NC",202501
NC,27425,"Greensboro, NC","Greensboro-High Point, NC",202501
NC,27427,"Greensboro, NC","Greensboro-High Point, NC",202501
NC,27429,"Greensboro, NC","Greensboro-High Point, NC",202501
NC,27435,"Greensboro, NC","Greensboro-High Point, NC",202501
NC,27438,"Greensboro, NC","Greensboro-High Point, NC",202501
NC,27455,"Greensboro, NC","Greensboro-High Point, NC",202501
NC,27495,"Greensboro, NC","Greensboro-High Point, NC",202501
NC,27497,"Greensboro, NC","Greensboro-High Point, NC",202501
NC,27498,"Greensboro, NC","Greensboro-High Point, NC",202501
NC,27499,"Greensboro, NC","Greensboro-High Point, NC",202501
NC,27502,"Raleigh, NC","Raleigh, NC",202501
NC,27504,"Raleigh, NC","Raleigh, NC",202501
NC,27508,"Raleigh, NC","Raleigh, NC",202501
NC,27511,"Raleigh, NC","Raleigh, NC",202501
NC,27512,"Raleigh, NC","Raleigh, NC",202501
NC,27513,"Raleigh, NC","Raleigh, NC",202501
NC,27518,"Raleigh, NC","Raleigh, NC",202501
NC,27519,"Raleigh, NC","Raleigh, NC",202501
NC,27520,"Raleigh, NC","Raleigh, NC",202501
NC,27523,"Raleigh, NC","Raleigh, NC",202501
NC,27524,"Raleigh, NC","Raleigh, NC",202501
NC,27525,"Raleigh, NC","Raleigh, NC",202501
NC,27526,"Raleigh, NC","Raleigh, NC",202501
NC,27527,"Raleigh, NC","Raleigh, NC",202501
NC,27528,"Raleigh, NC","Raleigh, NC",202501
NC,27529,"Raleigh, NC","Raleigh, NC",202501
NC,27539,"Raleigh, NC","Raleigh, NC",202501
NC,27540,"Raleigh, NC","Raleigh, NC",202501
NC,27542,"Raleigh, NC","Raleigh, NC",202501
NC,27545,"Raleigh, NC","Raleigh, NC",202501
NC,27549,"Raleigh, NC","Raleigh, NC",202501
NC,27555,"Raleigh, NC","Raleigh, NC",202501
NC,27560,"Raleigh, NC","Raleigh, NC",202501
NC,27562,"Raleigh, NC","Raleigh, NC",202501
NC,27568,"Raleigh, NC","Raleigh, NC",202501
NC,27569,"Raleigh, NC","Raleigh, NC",202501
NC,27571,"Raleigh, NC","Raleigh, NC",202501
NC,27576,"Raleigh, NC","Raleigh, NC",202501
NC,27577,"Raleigh, NC","Raleigh, NC",202501
NC,27587,"Raleigh, NC","Raleigh, NC",202501
NC,27588,"Raleigh, NC","Raleigh, NC",202501
NC,27591,"Raleigh, NC","Raleigh, NC",202501
NC,27592,"Raleigh, NC","Raleigh, NC",202501
NC,27593,"Raleigh, NC","Raleigh, NC",202501
NC,27596,"Raleigh, NC","Raleigh, NC",202501
NC,27597,"Raleigh, NC","Raleigh, NC",202501
NC,27601,"Raleigh, NC","Raleigh, NC",202501
NC,27602,"Raleigh, NC","Raleigh, NC",202501
NC,27603,"Raleigh, NC","Raleigh, NC",202501
NC,27604,"Raleigh, NC","Raleigh, NC",202501
NC,27605,"Raleigh, NC","Raleigh, NC",202501
NC,27606,"Raleigh, NC","Raleigh, NC",202501
NC,27607,"Raleigh, NC","Raleigh, NC",202501
NC,27608,"Raleigh, NC","Raleigh, NC",202501
NC,27609,"Raleigh, NC","Raleigh, NC",202501
NC,27610,"Raleigh, NC","Raleigh, NC",202501
NC,27611,"Raleigh, NC","Raleigh, NC",202501
NC,27612,"Raleigh, NC","Raleigh, NC",202501
NC,27613,"Raleigh, NC","Raleigh, NC",202501
NC,27614,"Raleigh, NC","Raleigh, NC",202501
NC,27615,"Raleigh, NC","Raleigh, NC",202501
NC,27616,"Raleigh, NC","Raleigh, NC",202501
NC,27617,"Raleigh, NC","Raleigh, NC",202501
NC,27619,"Raleigh, NC","Raleigh, NC",202501
NC,27620,"Raleigh, NC","Raleigh, NC",202501
NC,27621,"Raleigh, NC","Raleigh, NC",202501
NC,27622,"Raleigh, NC","Raleigh, NC",202501
NC,27623,"Raleigh, NC","Raleigh, NC",202501
NC,27624,"Raleigh, NC","Raleigh, NC",202501
NC,27625,"Raleigh, NC","Raleigh, NC",202501
NC,27626,"Raleigh, NC","Raleigh, NC",202501
NC,27627,"Raleigh, NC","Raleigh, NC",202501
NC,27628,"Raleigh, NC","Raleigh, NC",202501
NC,27629,"Raleigh, NC","Raleigh, NC",202501
NC,27634,"Raleigh, NC","Raleigh, NC",202501
NC,27635,"Raleigh, NC","Raleigh, NC",202501
NC,27636,"Raleigh, NC","Raleigh, NC",202501
NC,27640,"Raleigh, NC","Raleigh, NC",202501
NC,27650,"Raleigh, NC","Raleigh, NC",202501
NC,27656,"Raleigh, NC","Raleigh, NC",202501
NC,27658,"Raleigh, NC","Raleigh, NC",202501
NC,27661,"Raleigh, NC","Raleigh, NC",202501
NC,27668,"Raleigh, NC","Raleigh, NC",202501
NC,27675,"Raleigh, NC","Raleigh, NC",202501
NC,27676,"Raleigh, NC","Raleigh, NC",202501
NC,27690,"Raleigh, NC","Raleigh, NC",202501
NC,27695,"Raleigh, NC","Raleigh, NC",202501
NC,27697,"Raleigh, NC","Raleigh, NC",202501
NC,27698,"Raleigh, NC","Raleigh, NC",202501
NC,27699,"Raleigh, NC","Raleigh, NC",202501
NE,68002,"Omaha, NE","Omaha, NE",202501
NE,68003,"Omaha, NE","Omaha, NE",202501
NE,68005,"Omaha, NE","Omaha, NE",202501
NE,68007,"Omaha, NE","Omaha, NE",202501
NE,68008,"Omaha, NE","Omaha, NE",202501
NE,68010,"Omaha, NE","Omaha, NE",202501
NE,68015,"Omaha, NE","Omaha, NE",202501
NE,68016,"Omaha, NE","Omaha, NE",202501
NE,68017,"Omaha, NE","Omaha, NE",202501
NE,68018,"Omaha, NE","Omaha, NE",202501
NE,68022,"Omaha, NE","Omaha, NE",202501
NE,68023,"Omaha, NE","Omaha, NE",202501
NE,68028,"Omaha, NE","Omaha, NE",202501
NE,68029,"Omaha, NE","Omaha, NE",202501
NE,68033,"Omaha, NE","Omaha, NE",202501
NE,68034,"Omaha, NE","Omaha, NE",202501
NE,68037,"Omaha, NE","Omaha, NE",202501
NE,68040,"Omaha, NE","Omaha, NE",202501
NE,68041,"Omaha, NE","Omaha, NE",202501
NE,68042,"Omaha, NE","Omaha, NE",202501
NE,68044,"Omaha, NE","Omaha, NE",202501
NE,68046,"Omaha, NE","Omaha, NE",202501
NE,68048,"Omaha, NE","Omaha, NE",202501
NE,68050,"Omaha, NE","Omaha, NE",202501
NE,68056,"Omaha, NE","Omaha, NE",202501
NE,68058,"Omaha, NE","Omaha, NE",202501
NE,68059,"Omaha, NE","Omaha, NE",202501
NE,68064,"Omaha, NE","Omaha, NE",202501
NE,68065,"Omaha, NE","Omaha, NE",202501
NE,68066,"Omaha, NE","Omaha, NE",202501
NE,68068,"Omaha, NE","Omaha, NE",202501
NE,68069,"Omaha, NE","Omaha, NE",202501
NE,68070,"Omaha, NE","Omaha, NE",202501
NE,68073,"Omaha, NE","Omaha, NE",202501
NE,68101,"Omaha, NE","Omaha, NE",202501
NE,68102,"Omaha, NE","Omaha, NE",202501
NE,68103,"Omaha, NE","Omaha, NE",202501
NE,68104,"Omaha, NE","Omaha, NE",202501
NE,68105,"Omaha, NE","Omaha, NE",202501
NE,68106,"Omaha, NE","Omaha, NE",202501
NE,68107,"Omaha, NE","Omaha, NE",202501
NE,68108,"Omaha, NE","Omaha, NE",202501
NE,68109,"Omaha, NE","Omaha, NE",202501
NE,68110,"Omaha, NE","Omaha, NE",202501
NE,68111,"Omaha, NE","Omaha, NE",202501
NE,68112,"Omaha, NE","Omaha, NE",202501
NE,68113,"Omaha, NE","Omaha, NE",202501
NE,68114,"Omaha, NE","Omaha, NE",202501
NE,68116,"Omaha, NE","Omaha, NE",202501
NE,68117,"Omaha, NE","Omaha, NE",202501
NE,68118,"Omaha, NE","Omaha, NE",202501
NE,68119,"Omaha, NE","Omaha, NE",202501
NE,68122,"Omaha, NE","Omaha, NE",202501
NE,68123,"Omaha, NE","Omaha, NE",202501
NE,68124,"Omaha, NE","Omaha, NE",202501
NE,68127,"Omaha, NE","Omaha, NE",202501
NE,68128,"Omaha, NE","Omaha, NE",202501
NE,68130,"Omaha, NE","Omaha, NE",202501
NE,68131,"Omaha, NE","Omaha, NE",202501
NE,68132,"Omaha, NE","Omaha, NE",202501
NE,68133,"Omaha, NE","Omaha, NE",202501
NE,68134,"Omaha, NE","Omaha, NE",202501
NE,68135,"Omaha, NE","Omaha, NE",202501
NE,68136,"Omaha, NE","Omaha, NE",202501
NE,68137,"Omaha, NE","Omaha, NE",202501
NE,68138,"Omaha, NE","Omaha, NE",202501
NE,68139,"Omaha, NE","Omaha, NE",202501
NE,68142,"Omaha, NE","Omaha, NE",202501
NE,68144,"Omaha, NE","Omaha, NE",202501
NE,68145,"Omaha, NE","Omaha, NE",202501
NE,68147,"Omaha, NE","Omaha, NE",202501
NE,68152,"Omaha, NE","Omaha, NE",202501
NE,68154,"Omaha, NE","Omaha, NE",202501
NE,68157,"Omaha, NE","Omaha, NE",202501
NE,68164,"Omaha, NE","Omaha, NE",202501
NE,68172,"Omaha, NE","Omaha, NE",202501
NE,68175,"Omaha, NE","Omaha, NE",202501
NE,68176,"Omaha, NE","Omaha, NE",202501
NE,68178,"Omaha, NE","Omaha, NE",202501
NE,68179,"Omaha, NE","Omaha, NE",202501
NE,68180,"Omaha, NE","Omaha, NE",202501
NE,68182,"Omaha, NE","Omaha, NE",202501
NE,68183,"Omaha, NE","Omaha, NE",202501
NE,68197,"Omaha, NE","Omaha, NE",202501
NE,68198,"Omaha, NE","Omaha, NE",202501
NE,68304,"Omaha, NE","Omaha, NE",202501
NE,68307,"Omaha, NE","Omaha, NE",202501
NE,68347,"Omaha, NE","Omaha, NE",202501
NE,68349,"Omaha, NE","Omaha, NE",202501
NE,68366,"Omaha, NE","Omaha, NE",202501
NE,68403,"Omaha, NE","Omaha, NE",202501
NE,68407,"Omaha, NE","Omaha, NE",202501
NE,68409,"Omaha, NE","Omaha, NE",202501
NE,68413,"Omaha, NE","Omaha, NE",202501
NE,68455,"Omaha, NE","Omaha, NE",202501
NE,68463,"Omaha, NE","Omaha, NE",202501
NE,68648,"Omaha, NE","Omaha, NE",202501
NH,03032,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03034,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03036,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03037,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03038,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03040,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03041,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03042,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03044,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03053,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03073,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03077,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03079,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03087,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03261,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03290,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03291,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03801,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03802,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03803,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03804,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03811,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03815,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03819,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03820,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03821,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03822,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03823,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03824,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03825,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03826,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03827,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03833,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03835,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03839,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03840,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03841,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03842,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03843,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03844,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03848,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03851,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03852,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03854,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03855,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03856,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03857,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03858,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03859,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03861,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03862,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03865,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03866,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03867,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03868,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03869,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03870,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03871,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03873,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03874,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03878,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03884,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03885,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NH,03887,"Rockingham County, NH","Rockingham & Strafford Counties, NH",202501
NJ,08001,"Camden, NJ","Camden, NJ",202501
NJ,08002,"Camden, NJ","Camden, NJ",202501
NJ,08003,"Camden, NJ","Camden, NJ",202501
NJ,08004,"Camden, NJ","Camden, NJ",202501
NJ,08007,"Camden, NJ","Camden, NJ",202501
NJ,08009,"Camden, NJ","Camden, NJ",202501
NJ,08010,"Camden, NJ","Camden, NJ",202501
NJ,08011,"Camden, NJ","Camden, NJ",202501
NJ,08012,"Camden, NJ","Camden, NJ",202501
NJ,08014,"Camden, NJ","Camden, NJ",202501
NJ,08015,"Camden, NJ","Camden, NJ",202501
NJ,08016,"Camden, NJ","Camden, NJ",202501
NJ,08018,"Camden, NJ","Camden, NJ",202501
NJ,08019,"Camden, NJ","Camden, NJ",202501
NJ,08020,"Camden, NJ","Camden, NJ",202501
NJ,08021,"Camden, NJ","Camden, NJ",202501
NJ,08022,"Camden, NJ","Camden, NJ",202501
NJ,08023,"Camden, NJ","Camden, NJ",202501
NJ,08025,"Camden, NJ","Camden, NJ",202501
NJ,08026,"Camden, NJ","Camden, NJ",202501
NJ,08027,"Camden, NJ","Camden, NJ",202501
NJ,08028,"Camden, NJ","Camden, NJ",202501
NJ,08029,"Camden, NJ","Camden, NJ",202501
NJ,08030,"Camden, NJ","Camden, NJ",202501
NJ,08031,"Camden, NJ","Camden, NJ",202501
NJ,08032,"Camden, NJ","Camden, NJ",202501
NJ,08033,"Camden, NJ","Camden, NJ",202501
NJ,08034,"Camden, NJ","Camden, NJ",202501
NJ,08035,"Camden, NJ","Camden, NJ",202501
NJ,08036,"Camden, NJ","Camden, NJ",202501
NJ,08038,"Camden, NJ","Camden, NJ",202501
NJ,08039,"Camden, NJ","Camden, NJ",202501
NJ,08041,"Camden, NJ","Camden, NJ",202501
NJ,08042,"Camden, NJ","Camden, NJ",202501
NJ,08043,"Camden, NJ","Camden, NJ",202501
NJ,08045,"Camden, NJ","Camden, NJ",202501
NJ,08046,"Camden, NJ","Camden, NJ",202501
NJ,08048,"Camden, NJ","Camden, NJ",202501
NJ,08049,"Camden, NJ","Camden, NJ",202501
NJ,08051,"Camden, NJ","Camden, NJ",202501
NJ,08052,"Camden, NJ","Camden, NJ",202501
NJ,08053,"Camden, NJ","Camden, NJ",202501
NJ,08054,"Camden, NJ","Camden, NJ",202501
NJ,08055,"Camden, NJ","Camden, NJ",202501
NJ,08056,"Camden, NJ","Camden, NJ",202501
NJ,08057,"Camden, NJ","Camden, NJ",202501
NJ,08059,"Camden, NJ","Camden, NJ",202501
NJ,08060,"Camden, NJ","Camden, NJ",202501
NJ,08061,"Camden, NJ","Camden, NJ",202501
NJ,08062,"Camden, NJ","Camden, NJ",202501
NJ,08063,"Camden, NJ","Camden, NJ",202501
NJ,08064,"Camden, NJ","Camden, NJ",202501
NJ,08065,"Camden, NJ","Camden, NJ",202501
NJ,08066,"Camden, NJ","Camden, NJ",202501
NJ,08067,"Camden, NJ","Camden, NJ",202501
NJ,08068,"Camden, NJ","Camden, NJ",202501
NJ,08069,"Camden, NJ","Camden, NJ",202501
NJ,08070,"Camden, NJ","Camden, NJ",202501
NJ,08071,"Camden, NJ","Camden, NJ",202501
NJ,08072,"Camden, NJ","Camden, NJ",202501
NJ,08073,"Camden, NJ","Camden, NJ",202501
NJ,08074,"Camden, NJ","Camden, NJ",202501
NJ,08075,"Camden, NJ","Camden, NJ",202501
NJ,08076,"Camden, NJ","Camden, NJ",202501
NJ,08077,"Camden, NJ","Camden, NJ",202501
NJ,08078,"Camden, NJ","Camden, NJ",202501
NJ,08079,"Camden, NJ","Camden, NJ",202501
NJ,08080,"Camden, NJ","Camden, NJ",202501
NJ,08081,"Camden, NJ","Camden, NJ",202501
NJ,08083,"Camden, NJ","Camden, NJ",202501
NJ,08084,"Camden, NJ","Camden, NJ",202501
NJ,08085,"Camden, NJ","Camden, NJ",202501
NJ,08086,"Camden, NJ","Camden, NJ",202501
NJ,08088,"Camden, NJ","Camden, NJ",202501
NJ,08089,"Camden, NJ","Camden, NJ",202501
NJ,08090,"Camden, NJ","Camden, NJ",202501
NJ,08091,"Camden, NJ","Camden, NJ",202501
NJ,08093,"Camden, NJ","Camden, NJ",202501
NJ,08094,"Camden, NJ","Camden, NJ",202501
NJ,08095,"Camden, NJ","Camden, NJ",202501
NJ,08096,"Camden, NJ","Camden, NJ",202501
NJ,08097,"Camden, NJ","Camden, NJ",202501
NJ,08098,"Camden, NJ","Camden, NJ",202501
NJ,08099,"Camden, NJ","Camden, NJ",202501
NJ,08101,"Camden, NJ","Camden, NJ",202501
NJ,08102,"Camden, NJ","Camden, NJ",202501
NJ,08103,"Camden, NJ","Camden, NJ",202501
NJ,08104,"Camden, NJ","Camden, NJ",202501
NJ,08105,"Camden, NJ","Camden, NJ",202501
NJ,08106,"Camden, NJ","Camden, NJ",202501
NJ,08107,"Camden, NJ","Camden, NJ",202501
NJ,08108,"Camden, NJ","Camden, NJ",202501
NJ,08109,"Camden, NJ","Camden, NJ",202501
NJ,08110,"Camden, NJ","Camden, NJ",202501
NJ,08224,"Camden, NJ","Camden, NJ",202501
NJ,08312,"Camden, NJ","Camden, NJ",202501
NJ,08318,"Camden, NJ","Camden, NJ",202501
NJ,08322,"Camden, NJ","Camden, NJ",202501
NJ,08328,"Camden, NJ","Camden, NJ",202501
NJ,08343,"Camden, NJ","Camden, NJ",202501
NJ,08344,"Camden, NJ","Camden, NJ",202501
NJ,08347,"Camden, NJ","Camden, NJ",202501
NJ,08505,"Camden, NJ","Camden, NJ",202501
NJ,08511,"Camden, NJ","Camden, NJ",202501
NJ,08515,"Camden, NJ","Camden, NJ",202501
NJ,08518,"Camden, NJ","Camden, NJ",202501
NJ,08554,"Camden, NJ","Camden, NJ",202501
NJ,08562,"Camden, NJ","Camden, NJ",202501
NJ,08640,"Camden, NJ","Camden, NJ",202501
NJ,08641,"Camden, NJ","Camden, NJ",202501
NJ,07001,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07008,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07016,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07023,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07027,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07033,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07036,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07059,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07060,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07061,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07062,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07063,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07064,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07065,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07066,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07067,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07069,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07076,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07077,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07080,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07081,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07083,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07088,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07090,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07091,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07092,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07095,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07201,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07202,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07203,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07204,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07205,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07206,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07207,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07208,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07701,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07702,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07703,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07704,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07710,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07711,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07712,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07715,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07716,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07717,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07718,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07719,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07720,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07721,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07722,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07723,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07724,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07726,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07727,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07728,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07730,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07731,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07732,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07733,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07734,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07735,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07737,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07738,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07739,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07740,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07746,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07747,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
NJ,07748,"Elizabeth, NJ","Elizabeth-Lakewood-New Brunswick, NJ",202501
