"Durable Medical Equipment,",,,,
"Prosthetics, Orthotics, and Supplies",,,,
(DMEPOS),,,,
January 2025 Former CBA ZIP Codes ,,,,
,,,,
CBA State,CBA ZIP Code,CBA Name Short,CBA Name,Year/Qtr
AZ,85022,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85023,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85024,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85026,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85027,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85028,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85029,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85030,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85031,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85032,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85033,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85034,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85035,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85036,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85037,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85038,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85039,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85040,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85041,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85042,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85043,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85044,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85045,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85046,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85048,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85050,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85051,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85053,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85054,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85060,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85061,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85062,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85063,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85064,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85065,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85066,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85067,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85068,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85069,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85070,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85071,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85072,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85073,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85074,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85075,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85076,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85078,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85079,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85080,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85082,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85083,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
